week_start,zone,zone_category,priority_level,minimum_lpcd,supply_hours_per_day,tanker_support_flag,restriction_level,festival_week,local_storage_capacity_mld,pipeline_capacity_mld,pumping_capacity_mld,distribution_losses_pct,effective_deliverable_capacity_mld,population,residential_demand_mld,commercial_demand_mld,industrial_demand_mld,total_demand_mld
01/01/2024,North,Residential,High,135,6.6,0,Low,Yes,100.1,112.4,82.2,21.3,64.6,420000,428.65,85.73,42.87,557.25
01/01/2024,South,Residential,High,135,6.5,0,Low,Yes,87.7,91,85.5,24.1,64.9,410000,418.45,75.32,41.84,535.61
01/01/2024,East,Mixed,Medium,125,6.6,0,Low,Yes,84.8,97.2,75.9,26.6,55.7,360000,367.42,55.11,55.11,477.64
01/01/2024,West,Mixed,Medium,125,6.7,0,Low,Yes,74.5,92.4,69.7,29.6,49.1,350000,357.21,53.58,53.58,464.37
01/01/2024,Central,Commercial,Medium,120,6.5,0,Low,Yes,108,116,95.1,21.7,74.5,520000,530.71,132.68,26.54,689.93
08/01/2024,North,Residential,High,135,6.5,0,Low,Yes,95.4,114.6,82.4,21.7,64.5,420000,428.65,85.73,42.87,557.25
08/01/2024,South,Residential,High,135,6.7,0,Low,Yes,87.6,103.9,80.5,23.4,61.7,410000,418.45,75.32,41.84,535.61
08/01/2024,East,Mixed,Medium,125,6.6,0,Low,Yes,84.2,95.6,73.5,27.2,53.5,360000,367.42,55.11,55.11,477.64
08/01/2024,West,Mixed,Medium,125,6.4,0,Low,Yes,75.5,94.8,68.6,26.3,50.5,350000,357.21,53.58,53.58,464.37
08/01/2024,Central,Commercial,Medium,120,6.6,0,Low,Yes,96.8,119.2,88.4,18.9,71.7,520000,530.71,132.68,26.54,689.93
15/01/2024,North,Residential,High,135,6.4,0,Low,Yes,99.9,109.4,88.6,22.2,68.9,420000,428.65,85.73,42.87,557.25
15/01/2024,South,Residential,High,135,6.4,0,Low,Yes,98.6,95.7,79.1,23.4,60.6,410000,418.45,75.32,41.84,535.61
15/01/2024,East,Mixed,Medium,125,6.5,0,Low,Yes,83.6,81.3,78.9,24.2,59.9,360000,367.42,55.11,55.11,477.64
15/01/2024,West,Mixed,Medium,125,6.2,0,Low,Yes,76.9,91.7,73.7,27.4,53.5,350000,357.21,53.58,53.58,464.37
15/01/2024,Central,Commercial,Medium,120,6.2,0,Low,Yes,107.2,114.9,83.2,20.6,66.1,520000,530.71,132.68,26.54,689.93
22/01/2024,North,Residential,High,135,5.9,0,Low,No,91,107.4,80.8,24.9,60.7,420000,396.9,79.38,39.69,515.97
22/01/2024,South,Residential,High,135,5.8,0,Low,No,88.8,104.5,79.7,21.4,62.6,410000,387.45,69.74,38.75,495.94
22/01/2024,East,Mixed,Medium,125,6,0,Low,No,79.8,96.1,84.8,26.9,58.4,360000,340.2,51.03,51.03,442.26
22/01/2024,West,Mixed,Medium,125,5.9,0,Low,No,82.7,91.5,70.3,27.1,51.2,350000,330.75,49.61,49.61,429.98
22/01/2024,Central,Commercial,Medium,120,5.8,0,Low,No,103.3,113,99.2,20.1,79.2,520000,491.4,122.85,24.57,638.82
29/01/2024,North,Residential,High,135,6.2,0,Low,No,92.2,109,83.7,22.9,64.5,420000,396.9,79.38,39.69,515.97
29/01/2024,South,Residential,High,135,6,0,Low,No,92.5,102.5,79.2,26,58.6,410000,387.45,69.74,38.75,495.94
29/01/2024,East,Mixed,Medium,125,6,0,Low,No,76.6,95.9,73.4,26.2,54.1,360000,340.2,51.03,51.03,442.26
29/01/2024,West,Mixed,Medium,125,5.8,0,Low,No,78.9,87.5,74.5,26.7,54.6,350000,330.75,49.61,49.61,429.98
29/01/2024,Central,Commercial,Medium,120,5.9,0,Low,No,100.5,122.8,96.2,20.3,76.6,520000,491.4,122.85,24.57,638.82
05/02/2024,North,Residential,High,135,6,0,Low,No,98.9,110.6,81.7,22.5,63.3,420000,396.9,79.38,39.69,515.97
05/02/2024,South,Residential,High,135,5.8,0,Low,No,96.3,102.9,75.1,23.7,57.3,410000,387.45,69.74,38.75,495.94
05/02/2024,East,Mixed,Medium,125,6.1,0,Low,No,84.3,79.9,82.4,27.9,57.6,360000,340.2,51.03,51.03,442.26
05/02/2024,West,Mixed,Medium,125,5.9,0,Low,No,77.1,88.2,77.9,26.6,56.6,350000,330.75,49.61,49.61,429.98
05/02/2024,Central,Commercial,Medium,120,6,0,Low,No,91.7,123.7,91.5,21.1,72.2,520000,491.4,122.85,24.57,638.82
12/02/2024,North,Residential,High,135,5.9,0,Low,No,96.9,111.4,87.3,23.4,66.8,420000,396.9,79.38,39.69,515.97
12/02/2024,South,Residential,High,135,6.3,0,Low,No,89.4,100.9,84.9,23.9,64.6,410000,387.45,69.74,38.75,495.94
12/02/2024,East,Mixed,Medium,125,6,0,Low,No,81.5,96.9,71.4,25.7,53,360000,340.2,51.03,51.03,442.26
12/02/2024,West,Mixed,Medium,125,5.8,0,Low,No,75.9,91.2,65.8,27.8,47.5,350000,330.75,49.61,49.61,429.98
12/02/2024,Central,Commercial,Medium,120,6.1,0,Low,No,104.4,122,87.8,21.3,69.1,520000,491.4,122.85,24.57,638.82
19/02/2024,North,Residential,High,135,5.8,0,Low,No,93.8,113.3,87.3,22.8,67.4,420000,396.9,79.38,39.69,515.97
19/02/2024,South,Residential,High,135,6,0,Low,No,98,105.4,83.2,23.5,63.6,410000,387.45,69.74,38.75,495.94
19/02/2024,East,Mixed,Medium,125,5.7,0,Low,No,79.7,94.5,71,25.8,52.6,360000,340.2,51.03,51.03,442.26
